Date,Interest
2023/1/1,91
2023/1/2,95
2023/1/3,76
2023/1/4,72
2023/1/5,77
2023/1/6,75
2023/1/7,86
2023/1/8,91
2023/1/9,68
2023/1/10,63
2023/1/11,66
2023/1/12,62
2023/1/13,66
2023/1/14,84
2023/1/15,88
2023/1/16,76
2023/1/17,66
2023/1/18,61
2023/1/19,68
2023/1/20,69
2023/1/21,81
2023/1/22,92
2023/1/23,67
2023/1/24,63
2023/1/25,65
2023/1/26,64
2023/1/27,70
2023/1/28,87
2023/1/29,87
2023/1/30,66
2023/1/31,66
2023/2/1,75
2023/2/2,79
2023/2/3,81
2023/2/4,97
2023/2/5,96
2023/2/6,61
2023/2/7,60
2023/2/8,55
2023/2/9,60
2023/2/10,65
2023/2/11,80
2023/2/12,78
2023/2/13,54
2023/2/14,58
2023/2/15,64
2023/2/16,64
2023/2/17,66
2023/2/18,79
2023/2/19,84
2023/2/20,72
2023/2/21,62
2023/2/22,63
2023/2/23,71
2023/2/24,71
2023/2/25,87
2023/2/26,87
2023/2/27,67
2023/2/28,58
2023/3/1,59
2023/3/2,62
2023/3/3,66
2023/3/4,83
2023/3/5,100
2023/3/6,71
2023/3/7,61
2023/3/8,59
2023/3/9,57
2023/3/10,65
2023/3/11,79
2023/3/12,83
2023/3/13,65
2023/3/14,61
2023/3/15,64
2023/3/16,58
2023/3/17,62
2023/3/18,74
2023/3/19,82
2023/3/20,59
2023/3/21,60
2023/3/22,56
2023/3/23,58
2023/3/24,62
2023/3/25,78
2023/3/26,81
2023/3/27,61
2023/3/28,56
2023/3/29,56
2023/3/30,56
2023/3/31,64
2023/4/1,75
2023/4/2,77
2023/4/3,62
2023/4/4,53
2023/4/5,54
2023/4/6,58
2023/4/7,69
2023/4/8,81
2023/4/9,87
2023/4/10,71
2023/4/11,62
2023/4/12,61
2023/4/13,59
2023/4/14,70
2023/4/15,80
2023/4/16,87
2023/4/17,99
2023/4/18,61
2023/4/19,65
2023/4/20,62
2023/4/21,64
2023/4/22,85
2023/4/23,87
2023/4/24,65
2023/4/25,60
2023/4/26,59
2023/4/27,55
2023/4/28,58
2023/4/29,71
2023/4/30,82
2023/5/1,61
2023/5/2,54
2023/5/3,55
2023/5/4,55
2023/5/5,55
2023/5/6,66
2023/5/7,70
2023/5/8,54
2023/5/9,54
2023/5/10,51
2023/5/11,52
2023/5/12,57
2023/5/13,73
2023/5/14,77
2023/5/15,60
2023/5/16,60
2023/5/17,57
2023/5/18,58
2023/5/19,58
2023/5/20,74
2023/5/21,77
2023/5/22,60
2023/5/23,62
2023/5/24,75
2023/5/25,77
2023/5/26,80
2023/5/27,88
2023/5/28,86
2023/5/29,86
2023/5/30,66
2023/5/31,60
2023/6/1,59
2023/6/2,64
2023/6/3,79
2023/6/4,87
2023/6/5,68
2023/6/6,67
2023/6/7,66
2023/6/8,67
2023/6/9,66
2023/6/10,76
2023/6/11,83
2023/6/12,68
2023/6/13,63
2023/6/14,63
2023/6/15,61
2023/6/16,67
2023/6/17,79
2023/6/18,83
2023/6/19,77
2023/6/20,67
2023/6/21,64
2023/6/22,62
2023/6/23,68
2023/6/24,78
2023/6/25,81
2023/6/26,68
2023/6/27,63
2023/6/28,59
2023/6/29,62
2023/6/30,67
