Date,Interest
2020/7/1,58
2020/7/2,57
2020/7/3,62
2020/7/4,68
2020/7/5,69
2020/7/6,56
2020/7/7,55
2020/7/8,55
2020/7/9,51
2020/7/10,56
2020/7/11,64
2020/7/12,74
2020/7/13,54
2020/7/14,53
2020/7/15,49
2020/7/16,53
2020/7/17,57
2020/7/18,62
2020/7/19,68
2020/7/20,52
2020/7/21,50
2020/7/22,52
2020/7/23,53
2020/7/24,53
2020/7/25,62
2020/7/26,66
2020/7/27,54
2020/7/28,50
2020/7/29,51
2020/7/30,51
2020/7/31,52
2020/8/1,61
2020/8/2,67
2020/8/3,50
2020/8/4,51
2020/8/5,48
2020/8/6,46
2020/8/7,52
2020/8/8,60
2020/8/9,63
2020/8/10,50
2020/8/11,47
2020/8/12,48
2020/8/13,46
2020/8/14,51
2020/8/15,63
2020/8/16,66
2020/8/17,53
2020/8/18,45
2020/8/19,48
2020/8/20,57
2020/8/21,62
2020/8/22,68
2020/8/23,67
2020/8/24,51
2020/8/25,47
2020/8/26,45
2020/8/27,48
2020/8/28,48
2020/8/29,60
2020/8/30,64
2020/8/31,48
2020/9/1,53
2020/9/2,52
2020/9/3,48
2020/9/4,49
2020/9/5,63
2020/9/6,69
2020/9/7,68
2020/9/8,52
2020/9/9,52
2020/9/10,60
2020/9/11,76
2020/9/12,100
2020/9/13,91
2020/9/14,75
2020/9/15,62
2020/9/16,58
2020/9/17,61
2020/9/18,58
2020/9/19,74
2020/9/20,78
2020/9/21,54
2020/9/22,51
2020/9/23,50
2020/9/24,49
2020/9/25,51
2020/9/26,64
2020/9/27,64
2020/9/28,50
2020/9/29,48
2020/9/30,44
2020/10/1,52
2020/10/2,52
2020/10/3,69
2020/10/4,66
2020/10/5,49
2020/10/6,48
2020/10/7,54
2020/10/8,47
2020/10/9,49
2020/10/10,60
2020/10/11,60
2020/10/12,50
2020/10/13,45
2020/10/14,44
2020/10/15,43
2020/10/16,49
2020/10/17,64
2020/10/18,63
2020/10/19,46
2020/10/20,46
2020/10/21,47
2020/10/22,48
2020/10/23,51
2020/10/24,65
2020/10/25,67
2020/10/26,50
2020/10/27,48
2020/10/28,47
2020/10/29,48
2020/10/30,56
2020/10/31,68
2020/11/1,71
2020/11/2,50
2020/11/3,42
2020/11/4,23
2020/11/5,30
2020/11/6,36
2020/11/7,45
2020/11/8,50
2020/11/9,44
2020/11/10,42
2020/11/11,48
2020/11/12,44
2020/11/13,46
2020/11/14,62
2020/11/15,66
2020/11/16,48
2020/11/17,45
2020/11/18,44
2020/11/19,42
2020/11/20,44
2020/11/21,56
2020/11/22,63
2020/11/23,51
2020/11/24,48
2020/11/25,52
2020/11/26,58
2020/11/27,59
2020/11/28,63
2020/11/29,60
2020/11/30,48
2020/12/1,48
2020/12/2,44
2020/12/3,45
2020/12/4,51
2020/12/5,76
2020/12/6,74
2020/12/7,53
2020/12/8,48
2020/12/9,47
2020/12/10,45
2020/12/11,48
2020/12/12,64
2020/12/13,67
2020/12/14,51
2020/12/15,46
2020/12/16,50
2020/12/17,51
2020/12/18,52
2020/12/19,63
2020/12/20,65
2020/12/21,54
2020/12/22,51
2020/12/23,52
2020/12/24,59
2020/12/25,72
2020/12/26,73
2020/12/27,73
2020/12/28,63
2020/12/29,60
2020/12/30,60
2020/12/31,67
