Date,Interest
2022/1/1,96
2022/1/2,100
2022/1/3,76
2022/1/4,76
2022/1/5,69
2022/1/6,56
2022/1/7,75
2022/1/8,92
2022/1/9,90
2022/1/10,60
2022/1/11,60
2022/1/12,64
2022/1/13,68
2022/1/14,59
2022/1/15,98
2022/1/16,84
2022/1/17,74
2022/1/18,55
2022/1/19,59
2022/1/20,62
2022/1/21,78
2022/1/22,89
2022/1/23,81
2022/1/24,76
2022/1/25,53
2022/1/26,53
2022/1/27,54
2022/1/28,64
2022/1/29,94
2022/1/30,87
2022/1/31,62
2022/2/1,62
2022/2/2,63
2022/2/3,69
2022/2/4,70
2022/2/5,77
2022/2/6,83
2022/2/7,62
2022/2/8,55
2022/2/9,53
2022/2/10,44
2022/2/11,59
2022/2/12,77
2022/2/13,72
2022/2/14,53
2022/2/15,57
2022/2/16,56
2022/2/17,58
2022/2/18,64
2022/2/19,79
2022/2/20,86
2022/2/21,68
2022/2/22,59
2022/2/23,58
2022/2/24,54
2022/2/25,60
2022/2/26,73
2022/2/27,81
2022/2/28,60
2022/3/1,55
2022/3/2,50
2022/3/3,51
2022/3/4,55
2022/3/5,70
2022/3/6,77
2022/3/7,59
2022/3/8,55
2022/3/9,53
2022/3/10,51
2022/3/11,55
2022/3/12,71
2022/3/13,75
2022/3/14,56
2022/3/15,53
2022/3/16,51
2022/3/17,58
2022/3/18,63
2022/3/19,74
2022/3/20,77
2022/3/21,60
2022/3/22,53
2022/3/23,54
2022/3/24,54
2022/3/25,56
2022/3/26,67
2022/3/27,75
2022/3/28,54
2022/3/29,51
2022/3/30,51
2022/3/31,49
2022/4/1,53
2022/4/2,69
2022/4/3,71
2022/4/4,52
2022/4/5,50
2022/4/6,53
2022/4/7,52
2022/4/8,58
2022/4/9,67
2022/4/10,71
2022/4/11,57
2022/4/12,52
2022/4/13,55
2022/4/14,56
2022/4/15,61
2022/4/16,70
2022/4/17,75
2022/4/18,63
2022/4/19,65
2022/4/20,95
2022/4/21,86
2022/4/22,74
2022/4/23,77
2022/4/24,81
2022/4/25,63
2022/4/26,58
2022/4/27,56
2022/4/28,56
2022/4/29,59
2022/4/30,72
2022/5/1,77
2022/5/2,58
2022/5/3,51
2022/5/4,53
2022/5/5,52
2022/5/6,55
2022/5/7,68
2022/5/8,70
2022/5/9,55
2022/5/10,50
2022/5/11,53
2022/5/12,55
2022/5/13,56
2022/5/14,70
2022/5/15,73
2022/5/16,56
2022/5/17,57
2022/5/18,57
2022/5/19,54
2022/5/20,57
2022/5/21,67
2022/5/22,67
2022/5/23,55
2022/5/24,56
2022/5/25,50
2022/5/26,55
2022/5/27,62
2022/5/28,68
2022/5/29,74
2022/5/30,74
2022/5/31,64
2022/6/1,61
2022/6/2,60
2022/6/3,57
2022/6/4,67
2022/6/5,73
2022/6/6,59
2022/6/7,61
2022/6/8,58
2022/6/9,60
2022/6/10,61
2022/6/11,69
2022/6/12,77
2022/6/13,65
2022/6/14,58
2022/6/15,62
2022/6/16,59
2022/6/17,58
2022/6/18,73
2022/6/19,76
2022/6/20,64
2022/6/21,60
2022/6/22,61
2022/6/23,59
2022/6/24,60
2022/6/25,66
2022/6/26,71
2022/6/27,60
2022/6/28,54
2022/6/29,55
2022/6/30,59
