Date,Interest
2021/7/1,73
2021/7/2,79
2021/7/3,89
2021/7/4,86
2021/7/5,84
2021/7/6,75
2021/7/7,68
2021/7/8,71
2021/7/9,75
2021/7/10,82
2021/7/11,84
2021/7/12,72
2021/7/13,68
2021/7/14,64
2021/7/15,68
2021/7/16,72
2021/7/17,81
2021/7/18,85
2021/7/19,72
2021/7/20,66
2021/7/21,66
2021/7/22,64
2021/7/23,67
2021/7/24,80
2021/7/25,82
2021/7/26,68
2021/7/27,63
2021/7/28,64
2021/7/29,61
2021/7/30,65
2021/7/31,76
2021/8/1,84
2021/8/2,68
2021/8/3,66
2021/8/4,62
2021/8/5,65
2021/8/6,68
2021/8/7,81
2021/8/8,87
2021/8/9,71
2021/8/10,68
2021/8/11,66
2021/8/12,62
2021/8/13,67
2021/8/14,81
2021/8/15,89
2021/8/16,68
2021/8/17,63
2021/8/18,61
2021/8/19,63
2021/8/20,68
2021/8/21,85
2021/8/22,92
2021/8/23,73
2021/8/24,65
2021/8/25,62
2021/8/26,66
2021/8/27,69
2021/8/28,84
2021/8/29,88
2021/8/30,68
2021/8/31,64
2021/9/1,66
2021/9/2,64
2021/9/3,65
2021/9/4,82
2021/9/5,87
2021/9/6,90
2021/9/7,66
2021/9/8,61
2021/9/9,63
2021/9/10,62
2021/9/11,77
2021/9/12,86
2021/9/13,64
2021/9/14,59
2021/9/15,60
2021/9/16,62
2021/9/17,65
2021/9/18,81
2021/9/19,81
2021/9/20,67
2021/9/21,62
2021/9/22,64
2021/9/23,64
2021/9/24,61
2021/9/25,87
2021/9/26,95
2021/9/27,68
2021/9/28,67
2021/9/29,67
2021/9/30,69
2021/10/1,74
2021/10/2,92
2021/10/3,100
2021/10/4,82
2021/10/5,79
2021/10/6,77
2021/10/7,75
2021/10/8,79
2021/10/9,96
2021/10/10,96
2021/10/11,80
2021/10/12,77
2021/10/13,76
2021/10/14,73
2021/10/15,81
2021/10/16,96
2021/10/17,96
2021/10/18,75
2021/10/19,71
2021/10/20,75
2021/10/21,76
2021/10/22,74
2021/10/23,87
2021/10/24,91
2021/10/25,75
2021/10/26,70
2021/10/27,68
2021/10/28,70
2021/10/29,72
2021/10/30,84
2021/10/31,88
2021/11/1,68
2021/11/2,65
2021/11/3,64
2021/11/4,70
2021/11/5,72
2021/11/6,91
2021/11/7,91
2021/11/8,70
2021/11/9,65
2021/11/10,63
2021/11/11,66
2021/11/12,69
2021/11/13,88
2021/11/14,94
2021/11/15,68
2021/11/16,59
2021/11/17,62
2021/11/18,63
2021/11/19,70
2021/11/20,87
2021/11/21,93
2021/11/22,72
2021/11/23,70
2021/11/24,74
2021/11/25,82
2021/11/26,89
2021/11/27,94
2021/11/28,98
2021/11/29,71
2021/11/30,65
2021/12/1,65
2021/12/2,65
2021/12/3,67
2021/12/4,80
2021/12/5,86
2021/12/6,67
2021/12/7,64
2021/12/8,64
2021/12/9,61
2021/12/10,70
2021/12/11,82
2021/12/12,86
2021/12/13,66
2021/12/14,65
2021/12/15,63
2021/12/16,65
2021/12/17,66
2021/12/18,83
2021/12/19,86
2021/12/20,73
2021/12/21,71
2021/12/22,69
2021/12/23,73
2021/12/24,81
2021/12/25,95
2021/12/26,100
2021/12/27,85
2021/12/28,88
2021/12/29,84
2021/12/30,86
2021/12/31,89
