Date,Interest
2023/7/1,80
2023/7/2,88
2023/7/3,74
2023/7/4,85
2023/7/5,67
2023/7/6,68
2023/7/7,72
2023/7/8,93
2023/7/9,98
2023/7/10,69
2023/7/11,69
2023/7/12,70
2023/7/13,69
2023/7/14,70
2023/7/15,82
2023/7/16,89
2023/7/17,70
2023/7/18,64
2023/7/19,70
2023/7/20,70
2023/7/21,66
2023/7/22,75
2023/7/23,85
2023/7/24,70
2023/7/25,65
2023/7/26,64
2023/7/27,63
2023/7/28,69
2023/7/29,77
2023/7/30,83
2023/7/31,64
2023/8/1,62
2023/8/2,61
2023/8/3,61
2023/8/4,65
2023/8/5,76
2023/8/6,81
2023/8/7,69
2023/8/8,64
2023/8/9,60
2023/8/10,66
2023/8/11,68
2023/8/12,83
2023/8/13,88
2023/8/14,70
2023/8/15,62
2023/8/16,65
2023/8/17,64
2023/8/18,65
2023/8/19,81
2023/8/20,85
2023/8/21,67
2023/8/22,64
2023/8/23,64
2023/8/24,60
2023/8/25,62
2023/8/26,78
2023/8/27,84
2023/8/28,65
2023/8/29,59
2023/8/30,62
2023/8/31,67
2023/9/1,73
2023/9/2,82
2023/9/3,91
2023/9/4,100
2023/9/5,70
2023/9/6,67
2023/9/7,63
2023/9/8,63
2023/9/9,79
2023/9/10,80
2023/9/11,64
2023/9/12,57
2023/9/13,61
2023/9/14,62
2023/9/15,59
2023/9/16,73
2023/9/17,85
2023/9/18,64
2023/9/19,57
2023/9/20,57
2023/9/21,58
2023/9/22,68
2023/9/23,80
2023/9/24,82
2023/9/25,65
2023/9/26,58
2023/9/27,59
2023/9/28,59
2023/9/29,64
2023/9/30,79
2023/10/1,81
2023/10/2,63
2023/10/3,61
2023/10/4,62
2023/10/5,60
2023/10/6,65
2023/10/7,77
2023/10/8,80
2023/10/9,64
2023/10/10,60
2023/10/11,64
2023/10/12,61
2023/10/13,68
2023/10/14,82
2023/10/15,84
2023/10/16,62
2023/10/17,59
2023/10/18,61
2023/10/19,71
2023/10/20,67
2023/10/21,79
2023/10/22,88
2023/10/23,66
2023/10/24,62
2023/10/25,59
2023/10/26,59
2023/10/27,62
2023/10/28,74
2023/10/29,81
2023/10/30,65
2023/10/31,66
2023/11/1,63
2023/11/2,60
2023/11/3,65
2023/11/4,78
2023/11/5,79
2023/11/6,63
2023/11/7,62
2023/11/8,61
2023/11/9,58
2023/11/10,68
2023/11/11,84
2023/11/12,88
2023/11/13,69
2023/11/14,59
2023/11/15,62
2023/11/16,65
2023/11/17,62
2023/11/18,80
2023/11/19,80
2023/11/20,69
2023/11/21,71
2023/11/22,76
2023/11/23,91
2023/11/24,91
2023/11/25,90
2023/11/26,91
2023/11/27,68
2023/11/28,61
2023/11/29,65
2023/11/30,63
2023/12/1,64
2023/12/2,83
2023/12/3,81
2023/12/4,64
2023/12/5,62
2023/12/6,64
2023/12/7,57
2023/12/8,62
2023/12/9,93
2023/12/10,100
2023/12/11,86
2023/12/12,76
2023/12/13,66
2023/12/14,71
2023/12/15,74
2023/12/16,85
2023/12/17,88
2023/12/18,70
2023/12/19,72
2023/12/20,69
2023/12/21,71
2023/12/22,77
2023/12/23,82
2023/12/24,83
2023/12/25,90
2023/12/26,89
2023/12/27,84
2023/12/28,82
2023/12/29,82
2023/12/30,90
2023/12/31,92
