Date,Interest
2024/1/1,80
2024/1/2,68
2024/1/3,71
2024/1/4,64
2024/1/5,70
2024/1/6,82
2024/1/7,80
2024/1/8,62
2024/1/9,59
2024/1/10,58
2024/1/11,58
2024/1/12,62
2024/1/13,75
2024/1/14,80
2024/1/15,71
2024/1/16,62
2024/1/17,61
2024/1/18,59
2024/1/19,63
2024/1/20,79
2024/1/21,79
2024/1/22,61
2024/1/23,63
2024/1/24,65
2024/1/25,62
2024/1/26,67
2024/1/27,77
2024/1/28,80
2024/1/29,57
2024/1/30,59
2024/1/31,56
2024/2/1,59
2024/2/2,56
2024/2/3,76
2024/2/4,86
2024/2/5,54
2024/2/6,53
2024/2/7,49
2024/2/8,52
2024/2/9,52
2024/2/10,74
2024/2/11,72
2024/2/12,48
2024/2/13,56
2024/2/14,53
2024/2/15,57
2024/2/16,60
2024/2/17,81
2024/2/18,87
2024/2/19,71
2024/2/20,58
2024/2/21,58
2024/2/22,73
2024/2/23,82
2024/2/24,96
2024/2/25,100
2024/2/26,71
2024/2/27,59
2024/2/28,58
2024/2/29,57
2024/3/1,61
2024/3/2,74
2024/3/3,87
2024/3/4,61
2024/3/5,56
2024/3/6,55
2024/3/7,56
2024/3/8,59
2024/3/9,80
2024/3/10,79
2024/3/11,59
2024/3/12,53
2024/3/13,53
2024/3/14,55
2024/3/15,51
2024/3/16,67
2024/3/17,75
2024/3/18,55
2024/3/19,52
2024/3/20,51
2024/3/21,50
2024/3/22,56
2024/3/23,70
2024/3/24,75
2024/3/25,53
2024/3/26,51
2024/3/27,53
2024/3/28,50
2024/3/29,54
2024/3/30,63
2024/3/31,67
2024/4/1,57
2024/4/2,51
2024/4/3,49
2024/4/4,51
2024/4/5,53
2024/4/6,63
2024/4/7,66
2024/4/8,50
2024/4/9,46
2024/4/10,46
2024/4/11,49
2024/4/12,50
2024/4/13,62
2024/4/14,66
2024/4/15,52
2024/4/16,47
2024/4/17,47
2024/4/18,48
2024/4/19,54
2024/4/20,62
2024/4/21,67
2024/4/22,50
2024/4/23,46
2024/4/24,47
2024/4/25,47
2024/4/26,47
2024/4/27,61
2024/4/28,69
2024/4/29,51
2024/4/30,47
2024/5/1,44
2024/5/2,46
2024/5/3,53
2024/5/4,63
2024/5/5,73
2024/5/6,62
2024/5/7,52
2024/5/8,48
2024/5/9,49
2024/5/10,51
2024/5/11,61
2024/5/12,67
2024/5/13,53
2024/5/14,48
2024/5/15,52
2024/5/16,55
2024/5/17,56
2024/5/18,68
2024/5/19,65
2024/5/20,53
2024/5/21,49
2024/5/22,49
2024/5/23,51
2024/5/24,54
2024/5/25,64
2024/5/26,66
2024/5/27,74
2024/5/28,56
2024/5/29,53
2024/5/30,53
2024/5/31,57
2024/6/1,75
2024/6/2,78
2024/6/3,60
2024/6/4,57
2024/6/5,57
2024/6/6,59
2024/6/7,58
2024/6/8,72
2024/6/9,73
2024/6/10,63
2024/6/11,61
2024/6/12,56
2024/6/13,59
2024/6/14,58
2024/6/15,61
2024/6/16,68
2024/6/17,51
2024/6/18,47
2024/6/19,58
2024/6/20,54
2024/6/21,54
2024/6/22,62
2024/6/23,66
2024/6/24,52
2024/6/25,49
2024/6/26,48
2024/6/27,48
2024/6/28,50
2024/6/29,60
2024/6/30,63
2024/7/1,52
2024/7/2,50
2024/7/3,50
2024/7/4,60
2024/7/5,54
2024/7/6,62
2024/7/7,66
2024/7/8,53
2024/7/9,51
2024/7/10,50
2024/7/11,49
2024/7/12,52
2024/7/13,56
2024/7/14,56
2024/7/15,50
2024/7/16,47
2024/7/17,48
2024/7/18,51
2024/7/19,53
2024/7/20,60
2024/7/21,62
2024/7/22,50
2024/7/23,51
2024/7/24,48
2024/7/25,68
2024/7/26,81
2024/7/27,72
2024/7/28,66
2024/7/29,52
2024/7/30,50
2024/7/31,45
2024/8/1,49
2024/8/2,47
2024/8/3,58
2024/8/4,62
2024/8/5,48
2024/8/6,47
2024/8/7,51
2024/8/8,45
2024/8/9,47
2024/8/10,51
2024/8/11,57
2024/8/12,45
2024/8/13,45
2024/8/14,44
2024/8/15,48
2024/8/16,49
2024/8/17,58
2024/8/18,64
2024/8/19,50
2024/8/20,45
2024/8/21,45
2024/8/22,45
2024/8/23,48
2024/8/24,59
2024/8/25,67
2024/8/26,49
2024/8/27,47
2024/8/28,50
2024/8/29,48
2024/8/30,50
2024/8/31,60
